Bit Widths,Accuracy,Std. Dev.,Average Bit Width,Estimated Bit Operation Precision
"[2, 2, 2, 2, 8, 4, 2, 4, 8]",67.43333737055461,1.9430787844121893,3.7777777777777777,1.029565952
"[2, 2, 2, 2, 8, 4, 2, 8, 2]",40.36666850248972,7.185325557831336,3.5555555555555554,1.028372192
"[2, 2, 2, 2, 8, 4, 2, 8, 4]",68.0666704972585,1.75941944325918,3.7777777777777777,1.028770112
"[2, 2, 2, 2, 8, 4, 2, 8, 8]",70.03333767255147,2.043415615921786,4.222222222222222,1.029565952
"[2, 2, 2, 2, 8, 4, 4, 2, 2]",37.16666797796885,4.2820035619934265,3.111111111111111,1.03079856
"[2, 2, 2, 2, 8, 4, 4, 2, 4]",61.86666886011759,1.3021357814146335,3.3333333333333335,1.03119648
"[2, 2, 2, 2, 8, 4, 4, 2, 8]",63.00000250339508,12.060681252019203,3.7777777777777777,1.03199232
"[2, 2, 2, 2, 8, 4, 4, 4, 2]",39.433335264523826,6.130435285880382,3.3333333333333335,1.03079856
"[2, 2, 2, 2, 8, 4, 4, 4, 4]",70.33333778381348,0.3091194218895737,3.5555555555555554,1.03119648
"[2, 2, 2, 2, 8, 4, 4, 4, 8]",69.73333756128947,0.8340001134424535,4.0,1.03199232
"[2, 2, 2, 2, 8, 4, 4, 8, 2]",41.46666725476583,7.048561269307321,3.7777777777777777,1.03079856
"[2, 2, 2, 2, 8, 4, 4, 8, 4]",67.66666968663533,3.2744796538545713,4.0,1.03119648
"[2, 2, 2, 2, 8, 4, 4, 8, 8]",70.93333601951599,0.8219212766014653,4.444444444444445,1.03199232
"[2, 2, 2, 2, 8, 4, 8, 2, 2]",51.56667033831278,3.1180475037115256,3.5555555555555554,1.035651296
"[2, 2, 2, 2, 8, 4, 8, 2, 4]",65.3000036875407,1.6673347319952918,3.7777777777777777,1.036049216
"[2, 2, 2, 2, 8, 4, 8, 2, 8]",71.36667172114055,3.866378904602233,4.222222222222222,1.036845056
"[2, 2, 2, 2, 8, 4, 8, 4, 2]",55.700002113978066,3.9251346504299627,3.7777777777777777,1.035651296
"[2, 2, 2, 2, 8, 4, 8, 4, 4]",66.23333692550659,1.6977119965254626,4.0,1.036049216
"[2, 2, 2, 2, 8, 4, 8, 4, 8]",68.63333781560262,2.2881333568129314,4.444444444444445,1.036845056
"[2, 2, 2, 2, 8, 4, 8, 8, 2]",49.000000953674316,3.059411479042811,4.222222222222222,1.035651296
"[2, 2, 2, 2, 8, 4, 8, 8, 4]",67.26666887601216,1.5062833536982154,4.444444444444445,1.036049216
"[2, 2, 2, 2, 8, 4, 8, 8, 8]",69.20000513394673,2.409703246770979,4.888888888888889,1.036845056
"[2, 2, 2, 2, 8, 8, 2, 2, 2]",37.53333588441213,12.089207656377168,3.3333333333333335,1.033224928
"[2, 2, 2, 2, 8, 8, 2, 2, 4]",64.46667114893596,1.297005249182867,3.5555555555555554,1.033622848
"[2, 2, 2, 2, 8, 8, 2, 2, 8]",71.80000344912212,0.6164408768738205,4.0,1.034418688
"[2, 2, 2, 2, 8, 8, 2, 4, 2]",49.53333536783854,11.937988146376343,3.5555555555555554,1.033224928
"[2, 2, 2, 2, 8, 8, 2, 4, 4]",68.66666873296101,3.1562978170570264,3.7777777777777777,1.033622848
"[2, 2, 2, 2, 8, 8, 2, 4, 8]",73.83333643277486,1.1785129878515195,4.222222222222222,1.034418688
"[2, 2, 2, 2, 8, 8, 2, 8, 2]",45.10000149408976,1.9442215510031169,4.0,1.033224928
"[2, 2, 2, 2, 8, 8, 2, 8, 4]",69.40000454584758,0.6377031713160473,4.222222222222222,1.033622848
"[2, 2, 2, 2, 8, 8, 2, 8, 8]",68.26666990915935,0.5249354267311245,4.666666666666667,1.034418688
"[2, 2, 2, 2, 8, 8, 4, 2, 2]",34.633334477742515,3.8577480593178777,3.5555555555555554,1.035651296
"[2, 2, 2, 2, 8, 8, 4, 2, 4]",67.53333608309428,2.422577118199618,3.7777777777777777,1.036049216
"[2, 2, 2, 2, 8, 8, 4, 2, 8]",72.00000286102295,1.4306186066271147,4.222222222222222,1.036845056
"[2, 2, 2, 2, 8, 8, 4, 4, 2]",43.866668144861855,0.7363576342684435,3.7777777777777777,1.035651296
"[2, 2, 2, 2, 8, 8, 4, 4, 4]",66.8666700522105,1.0143412761490016,4.0,1.036049216
"[2, 2, 2, 2, 8, 8, 4, 4, 8]",71.96666995684306,1.7745103220311709,4.444444444444445,1.036845056
"[2, 2, 2, 2, 8, 8, 4, 8, 2]",40.03333548704783,5.069078690658419,4.222222222222222,1.035651296
